Marker in sec
11.129
13.706
16.26
18.728
21.223
23.727
26.197
28.646
31.105
33.512
35.854
38.179
40.51
42.897
45.261
47.548
49.898
52.174
54.458
56.696
58.926
61.196
63.357
65.557
67.76
69.899
71.964
74.046
76.047
78.01
80.002
81.886
83.829
85.671
87.545
89.463
91.34
93.166
95.045
96.92
98.731
100.51
102.25
104.01
105.678
107.329
109.01
110.633
112.281
113.886
115.51
117.091
118.713
120.366
121.997
123.64
125.295
126.89
128.51
130.077
131.632
133.183
134.675
136.169
137.724
139.261
140.858
142.36
143.964
145.46
147.04
148.582
150.14
151.681
153.217
154.751
156.296
157.781
159.26
160.731
162.17
163.64
165.076
166.545
168.01
169.51
170.964
172.431
173.891
175.34
176.831
178.225
179.694
181.172
182.653
184.166
185.638
187.131
188.64
190.124
191.53
192.945
194.338
195.76
197.18
198.581
199.963
201.261
202.546
203.872
205.231
206.64
208.01
209.449
210.886
212.279
213.696
215.109
216.545
217.938
219.381
220.795
222.189
223.616
225.045
226.466
227.915
229.361
230.76
232.18
233.547
234.97
236.366
237.76
239.181
240.601
242.001
243.414
244.803
246.181
247.582
248.963
250.35
251.76
253.116
254.481
255.857
257.216
258.582
259.932
261.295
262.61
263.986
265.34
266.761
268.138
269.51
270.89
272.277
273.665
274.967
276.34
277.724
279.045
280.432
281.795
283.139
284.436
285.696
286.965
288.26
289.546
290.858
292.215
293.546
294.865
296.16
297.508
298.793
300.046
301.34
302.64
303.875
305.197
306.51
307.78
309.081
310.409
311.749
313.08
314.388
315.761
317.106
318.447
319.759
321.076
322.403
323.729
325.08
326.39
327.681
328.991
330.295
331.53
332.748
333.981
335.231
336.578
