Take,Piece,N,Label SD,SD,J1,J2,D1,D2,J1 Dens,J2 Dens,D1 Dens,D2 Dens,Jembe 1,Jembe 2,Dundun 1,Dundun 2
Maraka_1,Maraka,3,4|8,8,8.897,,8.89,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|9,9,,9.01,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|10,10,,9.17,9.152,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|11,11,,,,,3.5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|12,12,9.436,9.438,9.439,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|1,1,9.598,9.611,9.603,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|3,3,9.897,9.883,9.891,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|4,4,10.044,10.042,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|5,5,10.218,,10.209,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|6,6,,10.323,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|7,7,10.48,10.489,,,4,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|8,8,10.659,,10.655,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|9,9,,10.769,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|10,10,,10.923,10.913,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|11,11,,,,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|12,12,11.218,11.199,11.197,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|1,1,11.368,11.371,11.357,,4,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|2,2,11.523,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|3,3,11.652,11.655,11.644,,4,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|4,4,11.802,11.803,,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|5,5,11.958,,11.947,,4.5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|6,6,12.088,12.089,,,4.5,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|7,7,12.226,12.244,,,4.5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|8,8,12.379,,12.381,,5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|9,9,12.495,12.507,,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|10,10,12.658,12.665,12.647,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|11,11,,,,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,6|12,12,12.938,12.916,12.929,,6,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|1,1,13.087,13.095,13.089,,6.5,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|2,2,,,,,6,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|3,3,13.371,13.369,13.377,,6,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|4,4,13.526,13.523,,,6,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|5,5,13.686,,13.683,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|6,6,,13.793,,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|7,7,13.953,13.95,,,5.5,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|8,8,14.112,,14.129,,5.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|9,9,,14.228,,,5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|10,10,,14.384,14.376,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|11,11,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,7|12,12,14.642,14.648,14.654,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|1,1,14.8,14.815,14.812,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|3,3,15.099,15.088,15.097,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|4,4,15.253,15.244,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|5,5,15.406,,15.398,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|6,6,,15.519,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|7,7,15.662,15.676,,,4,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|8,8,15.835,,15.837,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|9,9,,15.947,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|10,10,,16.104,16.092,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|11,11,,,,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,8|12,12,16.358,16.367,16.366,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|1,1,16.52,16.54,16.52,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|3,3,16.812,16.805,16.795,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|4,4,16.961,16.96,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|5,5,17.125,,17.103,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|6,6,,17.23,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|7,7,17.396,17.384,,,4,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|8,8,17.548,,17.544,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|9,9,,17.663,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|10,10,,17.819,17.799,,4,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|11,11,,,,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,9|12,12,18.087,18.073,18.077,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|1,1,18.23,18.241,18.229,,4,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|2,2,18.385,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|3,3,18.512,18.516,18.504,,4.5,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|4,4,18.659,18.66,,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|5,5,18.804,,18.795,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|6,6,18.931,18.931,,,5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|7,7,19.068,19.082,,,5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|8,8,19.219,,19.216,,5,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|9,9,19.329,19.348,,,6,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|10,10,19.492,19.502,19.472,,5.5,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|11,11,,,,,5.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,10|12,12,19.764,19.749,19.742,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|1,1,19.913,19.905,19.902,,6,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|2,2,,,,,6.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|3,3,20.193,20.179,20.183,,6.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|4,4,20.331,20.335,,,6.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|5,5,20.498,,20.489,,6,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|6,6,,20.602,,,6,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|7,7,20.746,20.762,,,6,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|8,8,20.907,,20.929,,6,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|9,9,,21.031,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|10,10,,21.184,21.175,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|11,11,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,11|12,12,21.437,21.438,21.443,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|1,1,21.601,21.607,21.598,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|3,3,21.871,21.877,21.872,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|4,4,22.021,22.029,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|5,5,22.191,,22.171,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|6,6,,22.284,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|7,7,22.456,22.449,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|8,8,22.608,,22.6,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|9,9,,22.722,,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|10,10,,22.873,22.854,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|11,11,,,,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,12|12,12,23.118,23.119,23.129,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|1,1,23.275,23.283,23.288,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|2,2,,,,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|3,3,23.547,23.552,23.551,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|4,4,23.694,23.703,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|5,5,23.865,,23.859,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|6,6,,23.958,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
