"Piece","Label.SD","SD","Clave_.","Section","Clave","Bass","Guitar","Tres","Bongo","Bell","Cajon","Conga","Trumpet","Cl_Dens","Bs_Dens","Gt_Dens","Tr_Dens","Bn_Dens","Bl_Dens","Cj_Dens","Cn_Dens","Tm_Dens","CycleTime","Cycle","Isochronous.SD.Time"
"Song_2","4:2",2,"N","Son",NA,NA,15.902162,15.87097,15.863298,NA,NA,NA,NA,NA,NA,4,2.5,3,NA,NA,NA,NA,NA,4,15.89090625
"Song_2","4:3",3,"N","Son",NA,NA,16.123999,16.083842,16.079403,NA,NA,NA,NA,NA,NA,4,3,3.5,NA,NA,NA,NA,NA,4,16.1098125
"Song_2","4:4",4,"2","Son",16.318679,16.3274,16.330168,16.312668,NA,NA,NA,NA,NA,2,1.5,4.5,3.5,NA,NA,NA,NA,NA,NA,4,16.32871875
"Song_2","4:5",5,"N","Son",NA,16.521603,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,16.547625
"Song_2","4:6",6,"N","Son",NA,NA,16.76859,16.752923,16.760353,NA,NA,NA,NA,NA,NA,4,3.5,2.5,NA,NA,NA,NA,NA,4,16.76653125
"Song_2","4:7",7,"3","Son",16.984758,16.965014,16.967033,16.958215,NA,NA,NA,NA,NA,1.5,2,4,3.5,NA,NA,NA,NA,NA,NA,4,16.9854375
"Song_2","4:8",8,"N","Son",NA,NA,17.187826,17.190243,17.192408,NA,NA,NA,NA,NA,NA,4,3.5,2.5,NA,NA,NA,NA,NA,4,17.20434375
"Song_2","4:9",9,"N","Son",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17.42325
"Song_2","4:10",10,"N","Son",NA,NA,17.657502,17.624435,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,NA,NA,NA,NA,NA,NA,4,17.64215625
"Song_2","4:11",11,"4","Son",17.871598,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17.8610625
"Song_2","4:12",12,"N","Son",NA,NA,18.136579,18.075777,18.056204,NA,NA,NA,NA,NA,NA,3,3.5,3,NA,NA,NA,NA,NA,4,18.07996875
"Song_2","4:13",13,"5","Son",18.303867,18.284745,18.316141,18.291769,NA,NA,NA,NA,NA,2,2,3.5,3.5,NA,NA,NA,NA,NA,NA,4,18.298875
"Song_2","4:14",14,"N","Son",NA,NA,NA,18.513001,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,4,18.51778125
"Song_2","4:15",15,"N","Son",NA,18.715426,18.744037,NA,NA,NA,NA,NA,NA,NA,1.5,3.5,NA,NA,NA,NA,NA,NA,NA,4,18.7366875
"Song_2","4:16",16,"N","Son",NA,NA,18.99242,18.934562,18.929458,NA,NA,NA,NA,NA,NA,3,3.5,2.5,NA,NA,NA,NA,NA,4,18.95559375
"Song_2","5:1",1,"1","Son",19.173597,NA,19.209716,NA,NA,NA,NA,NA,NA,1.5,NA,3,NA,NA,NA,NA,NA,NA,19.1745,5,19.1745
